epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,7799.08,0.65597,0.54112,1.03151,0.87002,0.79358,0.89587,0.72001,0.97359,0.74963,1.03603,0.004588,0.004588,0.004588
84,7895.52,0.65848,0.53986,1.03136,0.86507,0.78517,0.89,0.71992,0.96157,0.67165,1.04122,0.004522,0.004522,0.004522
85,7987.56,0.6576,0.53631,1.02784,0.82772,0.81604,0.89043,0.71901,0.98857,0.78203,1.0319,0.004456,0.004456,0.004456
86,8081.25,0.65994,0.53348,1.02828,0.85903,0.84047,0.90456,0.73218,0.93398,0.67763,1.02684,0.00439,0.00439,0.00439
87,8177.15,0.65271,0.52932,1.02344,0.82815,0.85316,0.9034,0.73128,0.94851,0.66874,1.03097,0.004324,0.004324,0.004324
88,8271.9,0.64526,0.52563,1.02138,0.88987,0.81175,0.90196,0.72708,0.96236,0.74993,1.02352,0.004258,0.004258,0.004258
89,8368.44,0.65399,0.53083,1.02605,0.82192,0.83468,0.88694,0.71664,0.94158,0.70535,1.03469,0.004192,0.004192,0.004192
90,8462.67,0.64045,0.5195,1.01741,0.88171,0.77756,0.88691,0.71258,0.94933,0.73245,1.04267,0.004126,0.004126,0.004126
91,8557.54,0.63894,0.51765,1.02224,0.87115,0.7919,0.89085,0.71749,0.91928,0.70208,1.02328,0.00406,0.00406,0.00406
92,8652.58,0.64107,0.51865,1.01554,0.86366,0.79257,0.89534,0.72817,0.96767,0.62302,1.04332,0.003994,0.003994,0.003994
93,8745.25,0.64711,0.52387,1.02357,0.83841,0.82485,0.88879,0.72801,0.9224,0.72369,1.01171,0.003928,0.003928,0.003928
94,8836.76,0.63612,0.5067,1.01608,0.81081,0.8425,0.8861,0.72124,0.94563,0.69634,1.03344,0.003862,0.003862,0.003862
95,8929.48,0.63895,0.51431,1.01925,0.86378,0.80187,0.89055,0.72601,0.92447,0.6953,1.01664,0.003796,0.003796,0.003796
96,9020.87,0.63674,0.50202,1.01375,0.88079,0.78924,0.88787,0.71589,0.93453,0.72097,1.01869,0.00373,0.00373,0.00373
